UNIQUEID;RECIPEID;PRODUCTID;STATIONID;STARTTIME;ENDTIME
ccb1ff23-ad1d-4a21-8cc3-dd62db81d3bd;PWD;3fed767a-d094-4a6b-8622-6075b2fae7a0;ProflexFordDeviceAdapter;2022-06-03T17:18:06.51+01:00;2022-06-03T17:19:03.935+01:00
2dabab1f-f8d9-4ce4-b139-121816425715;PWD;424d8f27-8879-463e-be19-9ce977b2c068;ProflexVWDeviceAdapter;2022-06-03T17:18:23.595+01:00;2022-06-03T17:19:06.64+01:00
e55b47ca-7ee7-4e89-a2ab-9fcc529f41f6;PWD;611bd11f-f881-4444-82c2-1d1afdc08489;ProflexVWDeviceAdapter;2022-06-03T17:19:07.552+01:00;2022-06-03T17:19:57.827+01:00
819681cc-a828-42a9-a0c0-53d370fd549b;PWD;8062e4bc-4806-4d8d-8f07-d856d85f6c07;ProflexFordDeviceAdapter;2022-06-03T17:19:04.7+01:00;2022-06-03T17:20:02.006+01:00
a93a56a2-9748-438c-a1d5-2162f34964c6;PWD;47f30cdc-b739-475f-bb57-a16c18ef19c1;ProflexVWDeviceAdapter;2022-06-03T17:19:58.644+01:00;2022-06-03T17:20:48.762+01:00
66351e45-3a57-4ad2-a17a-1a3ab0fd2948;PWD;3229bff8-08ce-4c2b-adaf-9137c380aa99;ProflexFordDeviceAdapter;2022-06-03T17:20:02.432+01:00;2022-06-03T17:21:06.774+01:00
4daa9e73-c675-47d7-9ec2-efe089c294fc;PWD;df62757e-3c1f-426e-9f74-67ee0dde931c;ProflexVWDeviceAdapter;2022-06-03T17:20:49.639+01:00;2022-06-03T17:21:38.79+01:00
d28ca937-d079-4a55-b9d8-ed24214f39fb;PWD;ab2cd334-e13a-49f9-9ce1-f0b00bd0445b;ProflexFordDeviceAdapter;2022-06-03T17:21:07.711+01:00;2022-06-03T17:22:13.931+01:00
d546ed17-a79e-4770-97ce-f9261baf50f9;PWCD;f347c52a-a868-431a-8c98-faa6ee10bf53;ProflexFordDeviceAdapter;2022-06-03T16:41:22.783+01:00;2022-06-03T16:42:49.505+01:00
37f5b7d1-3177-4298-b50a-cfed16754340;PWCD;34388ddb-f042-49d9-8b26-59ef79876ac3;ProflexFordDeviceAdapter;2022-06-03T16:45:24.801+01:00;2022-06-03T16:46:51.458+01:00
11384f9f-ea17-4f1b-a8d7-12b6cc0896d9;PWCD;857498b6-5cf2-4a8b-80a7-1ace0e634e7d;ProflexVWDeviceAdapter;2022-06-03T16:46:24.357+01:00;2022-06-03T16:47:39.238+01:00
b1e0c179-1735-479e-a3e6-927686e43323;PWCD;40915810-5bcc-49b9-8773-a7a64c423342;ProflexFordDeviceAdapter;2022-06-03T16:46:52.196+01:00;2022-06-03T16:48:17.555+01:00
2135a9b4-d9f6-4b50-9231-e0012741065b;PWCD;cc37c45d-7bd4-43cb-8d1a-19883e5fc8bc;ProflexVWDeviceAdapter;2022-06-03T16:47:40.543+01:00;2022-06-03T16:48:55.064+01:00
2f6acdd7-8056-40f0-9239-d34ba93f7102;PWCD;b8e291fe-ea88-4d08-b9b6-fed21ec6a315;ProflexFordDeviceAdapter;2022-06-03T16:48:18.358+01:00;2022-06-03T16:49:44.655+01:00
0d200876-4e3f-4ddc-940d-885e3e0b274d;PWCD;7177ae5b-a35a-4bc8-b7a2-06784b88a423;ProflexVWDeviceAdapter;2022-06-03T16:48:55.788+01:00;2022-06-03T16:50:11.254+01:00
456db395-57c6-4c7f-9f0a-9200c01561d4;PWCD;0718b71c-a732-4c59-9a2c-7413089e904f;ProflexFordDeviceAdapter;2022-06-03T16:49:44.889+01:00;2022-06-03T16:51:10.625+01:00
917cbbaf-76ad-49dd-a5ea-7a58bc6a745a;PWCD;57f66d07-c8fb-4542-a517-2b86b0ab7838;ProflexVWDeviceAdapter;2022-06-03T16:50:12.582+01:00;2022-06-03T16:51:27.224+01:00
49d80c31-458b-428a-a276-2a672243f0c2;PWCD;a976178c-4bfa-4c1b-a921-15c4834a30f9;ProflexFordDeviceAdapter;2022-06-03T16:51:11.171+01:00;2022-06-03T16:52:37.719+01:00
48f9cdfe-22f0-48d8-b188-567335925165;PWCD;29fa9ad0-3026-46c8-94ca-86b2a66c1119;ProflexVWDeviceAdapter;2022-06-03T16:51:28.01+01:00;2022-06-03T16:52:43.289+01:00
9ca6f55d-7972-42ae-b6f8-d76849e91e63;PWCD;c7f6f2b3-1d24-4a83-816b-5c419e4896cb;ProflexVWDeviceAdapter;2022-06-03T16:52:44.507+01:00;2022-06-03T16:53:59.239+01:00
5cae92ed-19bd-49a0-b059-27dbe9d2dc47;PWCD;27192324-7ff6-4ddd-8435-6af64a3cff4b;ProflexFordDeviceAdapter;2022-06-03T16:52:38.336+01:00;2022-06-03T16:54:04.757+01:00
ec2e1ac1-efa6-43b8-9bb1-2707d6b708e1;PWCD;7d27dfde-389e-40e2-abd2-ef547322ed7d;ProflexVWDeviceAdapter;2022-06-03T16:53:59.996+01:00;2022-06-03T16:55:14.255+01:00
14a89d7e-d0ae-4f05-ab9e-77d32d45ce69;PWCD;4c75d05e-9ede-4ad3-968b-ed01843dd428;ProflexFordDeviceAdapter;2022-06-03T16:54:05.181+01:00;2022-06-03T16:55:31.671+01:00
cf22dd8b-a380-48ed-8dd8-14f5bd6e4585;PWCD;e81c9a52-30fe-422b-bd6a-8b7c2458494e;ProflexVWDeviceAdapter;2022-06-03T16:55:15.593+01:00;2022-06-03T16:56:30.142+01:00
5a52f88f-b6ea-4c5a-bf58-6a817d3ff54d;PWCD;dc3e414b-3991-40a8-909d-e3c4ef596d9e;ProflexFordDeviceAdapter;2022-06-03T16:55:32.099+01:00;2022-06-03T16:56:58.704+01:00
ef048e27-378d-46b0-9bd5-01c046b0fb06;PWCD;172965f7-3dfd-41be-8528-3aba70de21e5;ProflexVWDeviceAdapter;2022-06-03T16:56:30.838+01:00;2022-06-03T16:57:46.273+01:00
f9906d71-80d3-4e8c-9c6d-fd8f3b85eeb4;PWCD;26d3d259-4b46-416b-9c98-ec78d55f5d68;ProflexFordDeviceAdapter;2022-06-03T16:56:59.46+01:00;2022-06-03T16:58:25.591+01:00
46fb294a-f0de-4400-8c0a-9ca0f3b0201d;PWCD;c3b3b06d-108d-435b-83b4-a6d8c0e79060;ProflexVWDeviceAdapter;2022-06-03T16:57:46.549+01:00;2022-06-03T16:59:02.3+01:00
7714fb87-1459-49c1-83b8-e390e2e691c0;PWCD;89df474a-105d-4068-ae0f-e62cad52f647;ProflexFordDeviceAdapter;2022-06-03T16:58:26.227+01:00;2022-06-03T16:59:52.64+01:00
34bedd73-c676-4e8a-a548-9875bb5ab0ef;PWCD;cb11d0be-591b-4ee5-8de3-dc8415c1c407;ProflexVWDeviceAdapter;2022-06-03T16:59:02.519+01:00;2022-06-03T17:00:18.278+01:00
